number,name,theme,subtheme,rating
70908, The Scuttler,The LEGO Batman Movie,,4.0
70909,Batcave Break-In,The LEGO Batman Movie,,4.0
70910,Scarecrow Special Delivery,The LEGO Batman Movie,,3.0
70911,The Penguin Arctic Roller,The LEGO Batman Movie,,5.0
70912,Arkham Asylum,The LEGO Batman Movie,,4.0
70913,Scarecrow Fearful Face-off,The LEGO Batman Movie,,
70914,Bane Toxic Truck Attack,The LEGO Batman Movie,,
70915,Two-Face Double Demolition,The LEGO Batman Movie,,
70916,The Batwing,The LEGO Batman Movie,,
70917,The Ultimate Batmobile,The LEGO Batman Movie,,
71017,LEGO Minifigures - The LEGO Batman Movie Series {Random bag},Collectable Minifigures,The LEGO Batman Movie,
71017,Lobster-Lovin' Batman,Collectable Minifigures,The LEGO Batman Movie,5.0
71017,Glam Metal Batman,Collectable Minifigures,The LEGO Batman Movie,5.0
71017,Fairy Batman,Collectable Minifigures,The LEGO Batman Movie,5.0
71017,Clan of the Cave Batman,Collectable Minifigures,The LEGO Batman Movie,
71017,Vacation Batman,Collectable Minifigures,The LEGO Batman Movie,4.5
71017,Barbara Gordon,Collectable Minifigures,The LEGO Batman Movie,
71017,Commissioner Gordon,Collectable Minifigures,The LEGO Batman Movie,4.0
71017,Arkham Asylum Joker,Collectable Minifigures,The LEGO Batman Movie,
71017,Dick Grayson,Collectable Minifigures,The LEGO Batman Movie,5.0
71017,Pink Power Batgirl,Collectable Minifigures,The LEGO Batman Movie,
71017,Red Hood,Collectable Minifigures,The LEGO Batman Movie,5.0
71017,Eraser,Collectable Minifigures,The LEGO Batman Movie,5.0
71017,Nurse Harley Quinn,Collectable Minifigures,The LEGO Batman Movie,5.0
71017,Orca,Collectable Minifigures,The LEGO Batman Movie,4.0
71017,Zodiac Master,Collectable Minifigures,The LEGO Batman Movie,5.0
71017,Catman,Collectable Minifigures,The LEGO Batman Movie,5.0
71017,March Harriet,Collectable Minifigures,The LEGO Batman Movie,4.0
71017,Calculator,Collectable Minifigures,The LEGO Batman Movie,5.0
71017,King Tut,Collectable Minifigures,The LEGO Batman Movie,4.0
71017,Mime,Collectable Minifigures,The LEGO Batman Movie,5.0
71017,LEGO Minifigures - The LEGO Batman Movie Series - Complete,Collectable Minifigures,The LEGO Batman Movie,
71017,LEGO Minifigures - The LEGO Batman Movie - Sealed Box,Collectable Minifigures,The LEGO Batman Movie,
71018,LEGO Minifigures - Series 17 {Random bag},Collectable Minifigures,Series 17,
71018,Professional Surfer,Collectable Minifigures,Series 17,
71018,Circus Strong Man,Collectable Minifigures,Series 17,
71018,Gourmet Chef,Collectable Minifigures,Series 17,
71018,Corn Cob Guy,Collectable Minifigures,Series 17,
71018,Veterinarian,Collectable Minifigures,Series 17,
71018,Hot Dog Man,Collectable Minifigures,Series 17,
71018,Butterfly Girl,Collectable Minifigures,Series 17,
71018,Roman Gladiator,Collectable Minifigures,Series 17,
71018,Connoisseur,Collectable Minifigures,Series 17,
71018,Battle Dwarf,Collectable Minifigures,Series 17,
71018,Retro Spaceman,Collectable Minifigures,Series 17,
71018,Yuppie,Collectable Minifigures,Series 17,
71018,Rocket Boy,Collectable Minifigures,Series 17,
71018,Dance Instructor,Collectable Minifigures,Series 17,
71018,Elf Girl,Collectable Minifigures,Series 17,
71018,{Mystery figure},Collectable Minifigures,Series 17,4.5
71018,LEGO Minifigures - Series 17 - Complete,Collectable Minifigures,Series 17,
71019,LEGO Minifigures - The LEGO Ninjago Movie {Random bag},Collectable Minifigures,The LEGO Ninjago Movie,
71042,Silent Mary,Pirates of the Caribbean,Dead Men Tell No Tales,
71250,{Ghostbusters Reboot 2},Dimensions,,
71254,{Teen Titans Go! 1},Dimensions,,
71255,{Teen Titans Go! 2},Dimensions,,
71264,The LEGO Batman Movie: Play the Complete Movie,Dimensions,Story Pack,
71266,Chase McCain,Dimensions,Fun Pack,
71267,The Goonies Level Pack,Dimensions,Level Pack,
71286,Michael Knight,Dimensions,Fun Pack,
71344,Excalibur Batman,Dimensions,Fun Pack,
71348,Hermione Granger,Dimensions,Fun Pack,
75144,Snowspeeder,Star Wars,Ultimate Collector Series,
75160,U-wing,Star Wars,MicroFighters,4.0
75161,TIE Striker,Star Wars,MicroFighters,
75162,Y-wing,Star Wars,MicroFighters,
75163,Krennic's Imperial Shuttle,Star Wars,MicroFighters,4.0
75164,Rebel Trooper Battle Pack,Star Wars,Rogue One,5.0
75165,Imperial Trooper Battle Pack,Star Wars,Rogue One,5.0
75166,First Order Transport Speeder Battle Pack,Star Wars,The Force Awakens,
75167,Bounty Hunter Speeder Bike Battle Pack,Star Wars,Original Content,
75168,Yoda's Jedi Starfighter,Star Wars,The Clone Wars,4.5
75169,Duel on Naboo,Star Wars,Episode I,4.0
75170,The Phantom,Star Wars,Rebels,4.7
75171,Battle on Scarif,Star Wars,Rogue One,
75172,Y-wing Starfighter,Star Wars,Rogue One,5.0
75173,Luke's Landspeeder,Star Wars,Episode IV,3.7
75174,Desert Skiff Escape,Star Wars,Episode VI,
75175,A-wing Starfighter,Star Wars,Episode VI,4.0
75176,{?},Star Wars,The Last Jedi,
75177,{?},Star Wars,The Last Jedi,
75178,Jakku Quadjumper,Star Wars,The Force Awakens,
75179,{?},Star Wars,The Last Jedi,
75180,Rathtar Escape,Star Wars,The Force Awakens,
75182,Republic Fighter Tank,Star Wars,Episode III,
75183,Darth Vader Transformation ,Star Wars,Episode III,
75184,Star Wars Advent Calendar,Star Wars,Seasonal,
75185,Tracker I,Star Wars,Original Content,
75186,The Arrowhead,Star Wars,Original Content,
75187,{?},Star Wars,The Last Jedi,
75188,{?},Star Wars,The Last Jedi,
75189,{?},Star Wars,The Last Jedi,
75190,{?},Star Wars,The Last Jedi,
75191,Jedi Starfighter with Hyperdrive,Star Wars,Episode II,
75192,{?},Star Wars,,
75193,{?},Star Wars,,
75523,Scarif Stormtrooper,Star Wars,Buildable Figures,4.0
75524,Chirrut Îmwe,Star Wars,Buildable Figures,5.0
75525,Baze Malbus,Star Wars,Buildable Figures,5.0
75526,{?},Star Wars,Buildable Figures,
75528,{?},Star Wars,Buildable Figures,
75529,{?},Star Wars,Buildable Figures,
75530,{?},Star Wars,Buildable Figures,
75531,Stormtrooper Commander,Star Wars,Buildable Figures,
75532,Scout Trooper & Speeder Bike,Star Wars,Buildable Figures,
75877,Mercedes-AMG GT3,Speed Champions,Mercedes,4.0
75878,Bugatti Chiron,Speed Champions,Bugatti,
75879,Scuderia Ferrari SF16-H,Speed Champions,Ferrari,
75880,McLaren 720S,Speed Champions,,
75881,2016 Ford GT & 1966 Ford GT40,Speed Champions,Ford,5.0
75882,Ferrari FXX K & Development Center,Speed Champions,Ferrari,
75883,Mercedes AMG Petronas Formula One Team,Speed Champions,Mercedes,
76068,Mighty Micros: Superman vs. Bizarro,DC Comics Super Heroes,Mighty Micros,
76069,Mighty Micros: Batman vs. Killer Moth,DC Comics Super Heroes,Mighty Micros,
76070,Mighty Micros: Wonder Woman vs. Doomsday,DC Comics Super Heroes,Mighty Micros,
76071,Mighty Micros: Spider-Man vs. Scorpion,Marvel Super Heroes,Mighty Micros,
76072,Mighty Micros: Iron Man vs. Thanos,Marvel Super Heroes,Mighty Micros,
76073,Mighty Micros: Wolverine vs. Magneto,Marvel Super Heroes,Mighty Micros,
76075,Wonder Woman Warrior Battle,DC Comics Super Heroes,DC Extended Universe,
